Field,RMSE,MAE,MaxAbsError,RelRMSE_percent
Ux,0.14540109038352966,0.10405518114566803,0.8441644310951233,12.331463813781738
Uy,0.5756894946098328,0.3958257734775543,2.3200409412384033,39.132347106933594
Uz,0.5242565274238586,0.39747536182403564,2.48689603805542,67.0604248046875
T,0.5583293437957764,0.3443441092967987,4.401098728179932,69.7391586303711
p,0.609508216381073,0.5314808487892151,1.3706384897232056,64.27909851074219
